product_id,product_detail,product_category,product_type,revenue,quantity,transactions,revenue_share_pct,aov
61,Sustainably Grown Organic Lg,Drinking Chocolate,Hot chocolate,21151.75,4453,2961,3.0268140803983807,7.143448159405606
59,Dark chocolate Lg,Drinking Chocolate,Hot chocolate,21006.0,4668,3029,3.005957264663604,6.93496203367448
39,Latte Rg,Coffee,Barista Espresso,19112.25,4497,2896,2.7349617600479372,6.5995338397790055
41,Cappuccino Lg,Coffee,Barista Espresso,17641.75,4151,2772,2.52453330352657,6.3642676767676765
55,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,17384.0,4346,2830,2.4876492949115536,6.142756183745583
38,Latte,Coffee,Barista Espresso,17257.5,4602,2990,2.469547152953068,5.771739130434782
36,Jamaican Coffee River Lg,Coffee,Premium brewed coffee,16481.25,4395,2911,2.3584658272987253,5.661714187564411
60,Sustainably Grown Organic Rg,Drinking Chocolate,Hot chocolate,16233.75,4329,2842,2.323048593032123,5.712086558761436
40,Cappuccino,Coffee,Barista Espresso,15997.5,4266,2793,2.2892412330503666,5.727712137486574
27,Brazilian Lg,Coffee,Organic brewed coffee,15109.5,4317,2771,2.1621684894998916,5.452724648141465
33,Ethiopia Lg,Coffee,Gourmet brewed coffee,14794.5,4227,2741,2.1170920095242165,5.39748267055819
58,Dark chocolate Rg,Drinking Chocolate,Hot chocolate,14024.5,4007,2636,2.0069050584725656,5.320371775417299
57,Spicy Eye Opener Chai Lg,Tea,Brewed Chai tea,13652.4,4404,2951,1.9536575721266964,4.626363944425618
32,Ethiopia Rg,Coffee,Gourmet brewed coffee,13179.0,4393,2866,1.8859140622203958,4.598394975575715
26,Brazilian Rg,Coffee,Organic brewed coffee,13155.0,4385,2904,1.882479663746059,4.529958677685951
45,Peppermint Lg,Tea,Brewed herbal tea,13050.0,4350,2857,1.8674541704208336,4.567728386419321
49,English Breakfast Lg,Tea,Brewed Black tea,12927.0,4309,2852,1.8498528782398556,4.532608695652174
51,Earl Grey Lg,Tea,Brewed Black tea,12735.0,4245,2702,1.8223776904451583,4.713175425610658
47,Serenity Green Tea Lg,Tea,Brewed Green tea,12660.0,4220,2750,1.8116451952128547,4.6036363636363635
30,Columbian Medium Roast Lg,Coffee,Gourmet brewed coffee,12585.0,4195,2731,1.800912699980551,4.608202123764189
53,Traditional Blend Chai Lg,Tea,Brewed Chai tea,12522.0,4174,2716,1.7918974039854159,4.610456553755522
37,Espresso shot,Coffee,Barista Espresso,12495.0,4165,2730,1.7880337057017865,4.576923076923077
35,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,12455.800000000001,4018,2594,1.7824241881937029,4.8017733230532
43,Lemon Grass Lg,Tea,Brewed herbal tea,12267.0,4089,2647,1.7554069201955835,4.634302984510767
24,Our Old Time Diner Blend Lg,Coffee,Drip coffee,11991.0,3997,2664,1.7159113377407065,4.501126126126126
50,Earl Grey Rg,Tea,Brewed Black tea,11770.0,4708,3053,1.684286251789518,3.85522436947265
8,Civet Cat,Coffee beans,Premium Beans,11700.0,260,190,1.674269256239368,61.578947368421055
71,Chocolate Croissant,Bakery,Pastry,11625.98,3096,3076,1.6636769989447666,3.7795773732119633
54,Morning Sunrise Chai Rg,Tea,Brewed Chai tea,11607.5,4643,3026,1.661032512119527,3.8359220092531396
44,Peppermint Rg,Tea,Brewed herbal tea,11410.0,4564,2949,1.6327702746744606,3.8691081722617837
